Work Factor,Time
4,153.33333333333334
5,3.3333333333333335
6,6.0
7,13.333333333333334
8,19.333333333333332
9,37.666666666666664
10,75.66666666666667
11,152.33333333333334
12,309.3333333333333
13,632.0
14,1241.3333333333333
15,2493.3333333333335
16,4787.333333333333
17,9707.666666666666
18,19437.333333333332
19,38291.0
20,76907.66666666667
21,150753.0
22,301768.0
