NUM_ITERATIONS,MEM_LIMIT,HASH_LENGTH,NUM_THREADS,SALT,HASH,TIME
4,10240,32,1,a93953c8ce274cec754644895c8b439d,e2f2638f46f4844abd7809e1a716e0893a6ab21a211f4ed2a34cbf610b5a071b,272
5,10240,32,1,01bf60f526be83c871946f11aaf3ad37,79d9ac425a1d4c0e8c42b1471ca9d6e9f1910ae65b37afd58c61221ddd1372f7,121
6,10240,32,1,969ec240815f7cb9508ff9839c77ff3c,07e0d0d8ff97943d38372fa5e56980c894c2100bad4ebf59f3960bac8e5487d7,149
7,10240,32,1,1bf9a5181ef3d6aeada35e50ed3fdc27,49c3269bc522c423e4fa686904cd52dad26e7399a91b5fbb5e2927f5b004a5b7,167
8,10240,32,1,4980678051d544a2a1d5588b38439c17,dc1ee189247fa751827be0718157acdccd683dbe56bd9549605a9bd4013eff48,184
9,10240,32,1,a096a34cd08884734c640758f750c92b,6aec68fbb7398827ca50643dc3099aedd1f4477a4f7d4a4cb685f217dd74f32c,209
10,10240,32,1,605a0452e6a79771267893b801bcf6d8,487438d3daa8ff79382135648e3eb991a4d5a005e495e00514c5bea0bf085b8c,232
11,10240,32,1,d297bf42d84057fd5f4d16047c7c461b,c283118aad23d807b956e75e62424881d30f4dd59e2699dd0503446b05921f50,256
12,10240,32,1,8716e125ee5f6ac57703ca7900bedd33,a20b357e6fd4c000b06c23782bfaf58bf911efbdb3b9694ffa4222706f164240,278
13,10240,32,1,018c868b0c8b9c882f89569310f5f92a,83d59d17c98a48c12d3553d83c83ebf1a161a55e745a009e9347885116a30b66,298
14,10240,32,1,a994f25e58b7d866a177d87dd8c8198e,fa614b4be2232dd765fbbbf2a96472c1986281ea46a0ab537a25b4b0cc91e389,318
15,10240,32,1,fe830be9a048c3c8428e322ab9ae07b6,3efc44d632ab6a2d4c9a1393e5e9b1712e6c73959e6f5caab0f458f36a6e0b1e,368
16,10240,32,1,3d32d18ea55cb181e51fdc5441431bc6,20dd5d375060a4910f05b5b4479e55859990525c2707408d0b3680b186e56207,395
17,10240,32,1,459dedf0c61bb1cfe394ffec78d36313,7591a4deb13a0fe9019ea57630cec4d23376b077865843f9f8eb7187a216408f,393
18,10240,32,1,a50f18721b856c80606a207ef478860c,c6ba3c848e627641a91a09b76f182b6d1d4c2a225c1817d2174c6d27ae1dfbe0,410
19,10240,32,1,5044479c946cafb68fa4ac0ec11a29cc,0f2fe7fe935a37c2d7f1913938c85050a19905dc8124fb82182c420a13dee6b0,433
20,10240,32,1,5168c633c38254d2a223ef660de71e19,ff4d4d69862932d463e2627d6039d0be784dc3a7021f2afb56ace860df5dd0c0,456
21,10240,32,1,535e6312f54604b077baa6a1e1a52def,863bb78efc39ee8d7690c3d6c5defb0dac2ce41be4dc99be19f21ef292ad05f5,472
22,10240,32,1,289d77c6ecede894bc33d2ce0c2331be,29f0330cddc6d22d374df1b95f46e16a9b884b57844f59f0f61e20ee2fb30bea,495
23,10240,32,1,bc34f5edb5343699ee94e3d554f7834a,ae0dfa8ad28f06647c392de070e7da462517353c69fd3dae8a0292483e82b98c,518
24,10240,32,1,b64fdf7342b695ed72e0e9bc331e99b7,1299456d614d22100af2acaebe624f5ce606c9a2ed3626ed436bca6ac03f5103,542
25,10240,32,1,da5ab38451e0ff1b01312eb52c0c988f,21247e5ede81d5478dae3bbb9a2630d4f96f5ec2e3708f849a9a66bb2db0b3c8,563
26,10240,32,1,673e5ca230a4d37d508a7e927a984553,ed31108775a10c5a534e2a6ee73a5778e5a4b52f4a52543d8c1ce0af03866680,585
27,10240,32,1,491b80ff834813c97916d28b55741c86,10ac404fc7e8577b525860fddb4e6ffffd92477e1d3352d070516a96c62fbb3f,608
28,10240,32,1,34abf89fb05b7f51b67d808627e2bf4f,27975371491796f453b92bf9d621cdf935d62451affe2a58d542b31ec9077e5f,629
29,10240,32,1,b0e4c8d3d1e752d5ad6627f237e652db,613d49ffe6a9b2a7c5f4f67ac9d586fbdc8788d930d7081ac1b0db1b5fc594c6,651
30,10240,32,1,2c30c0aa247148798479c31c25dc4557,bc86e56f14b8341529880d6b8211d28db3186a210ef9d5b5af6bfd7db97a0f5b,672
4,20480,32,1,a31882349b4b34b9b7ff6215fd6b7127,75d791a356525cef3a9f59e0c3033c17beca9f12196726d98aa180e7e524de51,188
