WORK_FACTOR,SALT,HASH,TIME
4,310d741daa52748b0c237ee1e7f61b5e,a09ebdaecae72caf49644b27405a33672a8a9818b8b0d573,151
5,00d1fbf7eab5f536b2b07742b86acdff,c90e06e4f7c5ff02de1f4b32456069ca3ddec78ca04ce4ec,3
6,0a66a5e8a3fd5e7f74190526243ce85a,6a85afef77973e08e6a45c3bd1e161ace0763e65e37d335c,6
7,c3dc7c1ad91c2146e9590e5b5c0f3f0c,276acbd2fff1d8ca359b595a61800e6087c5a291e2097f7a,13
8,dc7b92b79b67eb086e40a00cc85d4634,3953051839d11e6057778df6c5991ed9cdd6653cd0b64051,19
9,09f79bb4371525e5bdd5ecb779a5d6b5,af51fcb35da7d8ef10708b29a0fe886b9a64f9f093607a23,37
10,efa3bcca17b8fb2c7de2dc10a43e43c3,5b4d0bc450a1100973584dd718789042b617df526fa96a03,76
11,905c155010c684bd4ec391098b7034e6,559f53f7fc9d48f09697ce1fb12b4a83fbfde82a63b295d5,149
12,d3322976ded435eda8f42c23dbcee9c8,b72903ee4950cec8eedad9ac64a1c4f8794061bfa1eb8a7d,298
13,2c5bbc660618389c51d2762a878de1b6,702ee2eef189c20bcfd9c6393470f1fc6ebfecaf15b6e1fb,594
14,d049bd46d5ca32af3c823418ac44e180,806f35b8a1ddf6de515b0f36497514f0a294cafa13dad998,1187
15,83c3b40af33d163516806a1f5bcbedf6,a4610cfa7872cba9c989e6dfb732af16229fe9418f080c8b,2417
16,46fac0d0c427019af96ed8fd92f55db7,58ac1e72cf5a5e95d137b249ad2a24c8e5d3b796e04a68f0,4736
17,5215f6b119b52312a2518744cd174642,a4cb1c8b9716f9e7843ca446a8797eb1d59e60467708f385,9369
18,3adf71dab8c7352ea64ff1dbf954d000,914177347a99d07714380be688f8697a188ab5e4060ade4c,18897
19,2b9cf1affb7defce911ba44b8e33d797,0054702f2f67b1d2e9dab55992a2edf30d0ff6be42831aa6,38111
20,9b95190c626fa9c6ca098dd7bb59dd74,7ed2b1a374684f63c800681d61abae1fc1b95c9d0f3eac33,75873
21,da1f5874f397b968e1cf1292512a7121,c5196d0ad311999c912c09f2b1c759da0cc2a318cbb74af5,149988
22,462b55c7a50ef9f24fdea90b6c60b4b8,39bf46a50da666f9ceebc2d03403d9ca7500019bd20c7e98,301994
