NUM_ITERATIONS,MEM_LIMIT,HASH_LENGTH,NUM_THREADS,SALT,HASH,TIME
4,10240,32,1,af2575fc9184852858587feed8fd06d2,a849f16143a937d225e7d124edb1efc8caafebf886c60d64eb4c5f1a55b4aec9,87
5,10240,32,1,e48082e700175e1eeb861fe43ddf2f6c,4c9dcdeea661c8bbc764358fd367e74a954020d1ac99ced5d9f0f9152d2a86dd,33
6,10240,32,1,4cfa83e7ade80a3ddf8777fa5df77185,b9a455e6d530211fa3b89405f65d8aaead300874845aebeb05855a759f54e6d1,42
7,10240,32,1,1d0eb1699ab59fd9290ede60bd5e8a4e,216268283e7cf4fe4134c95d164a1bae46a1ddce4585c2ac8bb296547c2c0e42,47
8,10240,32,1,2b83d9c86e93d78f1426c76a91bf0a8b,2308e3f309e2e49aa43827e575078cf28673e0c66603faa0293a08860b669bc6,45
9,10240,32,1,12ded8e1c60e7981052db9e1afa96f53,f98835b6d536f08c6328635cf8737235df80f678ea629451bb4fe0a53b777427,48
10,10240,32,1,b6b45dedaff09aa383f29228ce3fd8df,a016d1bca4f8ffd52a610586e8d2912c381ecf73426f65edc9c10bdecc46f0c5,54
11,10240,32,1,14388f95a3fdee9a9e42059434a595de,acc95761493247a95b376ba0fd83677e0bd691a598474c9b2659552d88d52a8e,62
12,10240,32,1,ce08f0c4571a343a41119ec1b285cdf4,93a5f6b884cfa49f4de04828e08ba05a7d1c6a83ace401046a43411cf75dd9f8,67
13,10240,32,1,49af26a065d8adaad6cd6d65de4aa571,623c1915b1d1a6a4525ef843bc523a815cd8a9a098510c7f31de6929100cccff,73
14,10240,32,1,5bd11cf9dd05fbf39a2c66d2d175a4cc,fb62af7254fbc2eea925fe35b34dba17572bc25e1bee57c8d54bb371b5282289,68
15,10240,32,1,b2470c24ff03a27544f7d27e2ebb8b1d,cec1e509f705ffc62feb2d1a2fefdc520015ca8a486b40def8c32ceb52e56b48,76
16,10240,32,1,2804372434b0e754fa14d37a5940a976,028a541c304edd56b351ecc70421be102f231208c594253d3149167357409b56,78
17,10240,32,1,ea6694d494eebaa50d15417255dc897d,67bb06b44b06f2823b8628138feb13d89d2e832d7dfb4fce7521dcfa52047859,83
18,10240,32,1,c6fb791a644ccf1df8902c34bc16b7a5,384468a068a02001313e87959345ebaea04e9b9fe67d993f80e8f5ec620a135b,91
19,10240,32,1,8345373ec417b4b112fa05dada798703,7150008a7adf1d8f6b43d524d038219fb6d22ad4814422da7d82e8b836d27c61,122
20,10240,32,1,a7d0cc11290a7c4a65ab0bc321faa70a,cdb7cd442f833b6f54bc415a5a235b4033775a2ca4300925c70a3313806ced04,113
21,10240,32,1,f192f5caf21a78be970994ca61c98dc0,ff94c16c07a46fdaecc18d99c1fddb3e282cd0a877c6af3057240b2adf4d1a34,104
22,10240,32,1,9708e091143b1ce99bebc37dd551ee45,7b18f630bc849338aee6d9f8ed49e1a5c1e74b4e060985aaa91292565953d5f1,117
23,10240,32,1,4e328ad544f3dd5d85c7b29cb7c0f0f3,b549b202845c25254d2a8a17cbbe7ff131eb58951bc593d5b9f31f20633c2bc1,136
24,10240,32,1,9c624c306c7bcf53ed9f33956cf79607,9ad48141b3ea4fb31207ba687a9e56c6844e5a51d4375bcd8c7c976e7ee4ed83,140
25,10240,32,1,768683c16bee9876d6bb9db9c8091ad4,36f0e630d65579f4823e5fa607ef75a1f97c1da5463228896ee16667913f0896,122
26,10240,32,1,f2627c88ded7d014306b7ce551099fee,4d0bcdd9fc52026814e19346a6bcc8ac375dc313b8d323c70b42be2cac37efa1,125
27,10240,32,1,90420d672b229ee871d417da10e34499,ea7e17755a65d16f164dc925e822efc3b5df35c57afc8569fcd167b94e929e40,143
28,10240,32,1,f0fc45b5effd08b57fec8bf214330709,7c80e1604974c3839c6327a222749054f6611c3466764ce1a6141e08953d26b3,133
29,10240,32,1,eb7b06da49945e90e07b85461d861d97,7f002370a8982ad9c8ab6f1198b7de7383ced92f0cf3fdc09b7e7183bbfe85d1,137
30,10240,32,1,506ab6a7933cf3208ec3d21e0b0f3f1b,0a01ee80b796e4b36682426622e20d5a0d1722f624daaac4d95017371fdf1759,149
4,20480,32,1,31848f7add5d3b952ff1a350cf23aa52,ad6532c16fc43cc80ed2ca37ec4d9d2ee4bfffe26244bfd7f1b58ecedc858dfb,47
5,20480,32,1,532b7869a266f456a16659f7d0e9ea32,66650bef12a58f89477af5532aeee01c60301c9a68db09276b88e26635e9cea7,72
6,20480,32,1,4b89371778f46d9f1dfe1dae58dacf0a,9a5b2a900fa023ee20b79868149809b13274d9359d11631c7d034f99261d9bc7,70
7,20480,32,1,d25802e0b28d457694565315982f97a6,2c6564eeb0a33770535907abf6bbc0511b3833ef945c24e1a68f6cf00e5b5f31,78
8,20480,32,1,c9a4466a45cc8cbc005499bdcdcd2579,3c2435017ce51d7a4b21e59ab9ae70c874c89bda6f20c24522d75fd513ba706d,87
9,20480,32,1,b5b29a4cde908ef4cbb6f9e78304e0e5,715013dc71e6baeb7f12571e518b703a51fc15a375af8f37bfd038bb51b664bf,97
10,20480,32,1,8fad0daedbcf944712739815b7e0e20b,5fdf2718cfba6ce4cc52350448a71c61ee673a50c7b3a80540deff4226367ebf,109
11,20480,32,1,f178a630c6f962944d811190d70887ec,bc4ca17e7c05b18290f22c9e69b158bbd74af6d8102fc4ab4370a299af6e6c01,121
12,20480,32,1,09933df58c4d5e30a5393e4d0591db43,763cf251ab118370c88275a6db2677fd11d3bf2b460d85f9bd21a1285e18e882,154
13,20480,32,1,28bd6893f398145244438f1546ca18c1,665b95142227d9e69db2f7ef962ae73d99fd9d671ab2b22ee7a1e73d1142632e,142
14,20480,32,1,0715b2091cdd89de73a8f9256d9a269c,dbafd3a2afb49df020c3a7bb95724295d1dad48a55643123f46c92a6a37bc8ac,146
15,20480,32,1,686b17468ceb00018a857e48fd67eb80,3801c631c5d912fb35b69aae9a36cb99c450bfe60cc1e811869bff3986f0d68b,151
16,20480,32,1,047db2b45f830667308c1a32dcc5b2fe,0acb673396b612ebe698810a2d0ecfc30c4d77811b08e3f0eb29beb419d48202,164
17,20480,32,1,4b2cc09759eb83d4f50ca3f0b6b786eb,03d124660738c9fa321eb81cbc8272a269b95f52104ce6a90d770a4ae19ff760,173
18,20480,32,1,5d9976b97d45d89a9039779edb1ad384,d44566e35311a1a3ee0c20394d3f9bc6f7456f061b397040eb6ed49fc6ff272a,182
19,20480,32,1,6238b6a5c643b1367e5f9eaa659b1fb1,73ae45cd676121ab3eb8d7345a2da9ea34c646f9fc63c3d666eecb861b907fdf,197
20,20480,32,1,08d6f6ccbe4279884dd164f3d56daa2b,e659c8f0fdaebf7624dc98ae87728ee97c8d575afccf20f5b68631643582aeeb,216
21,20480,32,1,bb76670f21dee38dc7dbd26476841ddf,e8ff15cd247d519760c39c74a16264545e42b526bfbed596ace11b54a55dcaf9,221
22,20480,32,1,1921a3c0d1f435e2f09ece880e21544d,4e317f1599b61734cffdc61161e2abd696f2f327055d934a8df7a032c2b287b8,226
23,20480,32,1,3ade86ca211fd1dfc7716fc43d73ab47,25633c10c0c5b93ee31fe4ee9d5e149e6563433c44f915252d83b71a1dd47afe,234
24,20480,32,1,62c1f90f029aca847c74442afc14d1d6,8064dd83fa889f34eb70d633378a0761518e3502d842d870001fdcf1ded9fb0b,242
25,20480,32,1,69f302f2bb441c09c7e99e15bc2d559b,f25f2bc03cc617fab4e7f92dd59c976757c9022739745aafad3c925a90d6db8e,271
26,20480,32,1,0134bc083d73cfcf185b8e5155784d16,b02c0963ba03e338ca89f7ff1fb47d7569251e1c273e1c755db62ca7ed87b329,266
27,20480,32,1,1d5d4018f6fa86f0ee4758f99b808b43,cf7123cb341bd43ab1f6221890c03ae514c4fd1ad289a08d82470d800da23aed,276
28,20480,32,1,c9072ae7bf52dadcdf902b20a6b028b6,c257a5aa41acf3914693c432389fd5131f9da4e9790a2e5ddbdd22ae5915c88b,295
29,20480,32,1,0bfa377460643cdac002769fbc2e555f,f20b0a5d79ff8d4760aeadd09908fd6193d562a058f1da852c27bfbdddd0c6c5,294
30,20480,32,1,d26a6644bf3b6dcdda37823ec0ada99d,de68b69a8bc5429fc8ad728e2fe746a8c2d4fecbf4d470255132381659686ccc,303
4,30720,32,1,e9acf41a9c0b75e18d2f1f92738f536a,5d411e5ac1e9a71d0bf2b2f1910444a5905346e2f41da9dbb5a2aec02d67233d,67
5,30720,32,1,2b58662015bb20ca81dc55f7f52cff73,303993693c13537c127193881296508d2757913919677c200ccc2fd01b21b23a,85
6,30720,32,1,cbeeaf6ecad645db833bdcdeaeef04f2,de6a926f13831d430284bbe4953443fb310e55529418b49f33a0833051b856a4,103
7,30720,32,1,2a1f9e8821eec022aa9e11495e5be5c5,0af0d0ed76b270fbf3e7c38d9447426d2db38c10a3c6dec6b1b6f522999381cf,117
8,30720,32,1,14da3277022ad65816529f7a81ae0716,eff2ad825fb736b2f9147d3d14e4a1d61ee574b5bed96c0a33ee964d74a11c56,132
9,30720,32,1,b0349c5026d3a847344e020bade174c5,42c807c29c26630af130c0c1c011ae3528e5730f25359a95516395431d99696e,149
10,30720,32,1,bbd978d63234adca3b31d431b45e386f,2613673f6040140dab9c9ef97b0dbf6a2c987f845d33f9f58075eb5a50508baf,175
11,30720,32,1,82de41d137ead479abd635562fa71d81,b391c48a31ec3e6080ea2d8becaadb42e0463687d689a49937e08b30880b60b3,188
12,30720,32,1,8d0bed4163ebbd875edfd3b761d71e9e,f7eeeabea57afd0abf13610ee7c4f5a93d9bfffa2e95b987b547ee43c016b92c,200
13,30720,32,1,9598ddd32d6675d9d9ac9432fb67bf34,fffca3185c370963dc0b48a2234e60c0b6b7574fe7fa1a056fc9c47521d4ea5e,230
14,30720,32,1,c0ca374957be556009100ef48558aaa9,0607d7e44b7461157bfe0a39d7190789c8ea0a03ed754c962dbe5e16445ec389,244
15,30720,32,1,4369b030a637cb35bdfc2dfc3376a4a2,0facc6666b6072e46496e0cdc8e5099f20f00ebca01a91b9d34b8fb3743c6251,279
16,30720,32,1,9afa5c687af22f373fbcb57627b36fa1,efda1caab79b09f73a0a9285a1123f3a117aa625a8fafae71fc42d7eeaef1391,271
17,30720,32,1,b37842c21493797584257e041070cf6f,1bd132bb1b022a212c23f2afca152bd64a3d1d4f701b7f9c0db450db5bc932b6,280
18,30720,32,1,4c5fb573a4d20cbb3afd980c6175ddc2,3a054e918bcf302be144c747bfd55471117492433a75e09527299f90c6c4a3a5,303
19,30720,32,1,55ed5290e97db7be474a117baa030357,eac637ca640ad7d2ce2b598a612c1f5b3361fa494a0bdefbb6db25dabe1f5871,315
20,30720,32,1,3252b5279fa1c74967d6e00a4f92e853,a413c5e16870d9a56ac7494adb0134cb20bd0f914fdce6ba4d00580211362e05,329
21,30720,32,1,ce366ecdd824cbb8f684080ade94c7eb,6968c0430f60aadfcdf97ceddb78a1cbabab8bcad92941f63460b33810b887ce,343
22,30720,32,1,20c1cbf7940c5be4d2c752a2363d5dcd,0f793323c371f5a50a92637769c476b2a636427c5686e81e50623751acadbeb7,358
