WORK_FACTOR,SALT,HASH,TIME
4,542c6369ec5e7fe42a3f3b192b580424,32250b76efbeddb7384188f73b0afeb0d36fd198c52aa325,160
5,c6cd3dc9b04899274341e72ea9ae3963,54b1a62c65fdf6ea1dc036c4d0c183b41f8148677bdcc1cd,4
6,8b030b36d676bc1780880f9cdd611cb3,1433e520d715131f407025e2cc440a49462eb86ef693ab42,6
7,b8e4237c4fa293e61a6634fd9b145879,a93074e40c73107715c9a4c1050af628222a55501fdbfb0b,14
8,fc29caf5d78485806afa36cd44b8e51e,e7b367d58aef583d6f642d0ed52f1ed0048b8de4a895083b,20
9,1b7715a52a73ac5c21dd133114168833,e51749e9b0864a370c3a1c1279596ba3734d85a97e009514,39
10,76ac75cfaf89806a5186b077183c7e12,166fa0a059b9c11742f169d75fc43b22b47797217940c234,78
11,b904ea618ef2aae581a45d40e0908cfa,3c83abd17ecafb5c363a6957f70d3bad4f6c441924026e5e,162
12,a12f8bf75134cad6f5570a651e4185a5,e2f16c217aef19c96274654d243ac091d66183e823107783,338
13,90840cdbab35ffdf865d8ab49a52d30a,4a19458e52bd814bd064c0a9951f7d365c7b5f97cc4da09a,720
14,c4f915f2ccb9a14179a26fcdde5ce9b3,93fcb525d30ea44fb6f107e5cf408c89de5a97f6b6c9df89,1371
15,0838dbc6fd03d88c8be3e2939372f7c9,3d3f1c075c8df29fd8ca71489fbf053bd10fdefe6a3cfe8f,2718
16,fce8e9546a7c74ffe7baa3161b6f380b,9ff3ab4c06db5c047e4bf8a9aae602f1a2f422769ab94487,4915
17,8f375650b6eff58a92d8aab841985d7f,6cc516bc4a4ac47fd8fe9df4d4c412511c92cfd3e16c7ed9,10289
18,4d0a61a4fccc2b1ca45a66fddddb5167,3a66700feb035025335561e5303508e4c9276b50e5255299,20555
19,9cf1566b8b53ca04da4c5214241db678,5111d6ad18a34c38a4f185c84636cc83821c66b71cb230c5,38786
20,bae8e62601ce86a5ec5769356848e6f2,6911b58338a4950b35eca43a501e20a3f3545116f0242812,79888
21,0395b6b5558ac7ee6e3e2f72e842f5ef,33e34dc4be6752f418c8d18eba91cf5d4862130f50a953be,152718
22,f627dae30d88630ad9ae6a3cdff443d3,ac1d9c0c9604fb3e4cc7bb17b1ed3dd0f9a526e911926a89,304333
