NUM_ITERATIONS,MEM_LIMIT,HASH_LENGTH,NUM_THREADS,SALT,HASH,TIME
4,10240,32,1,a7f0927c7f90211685f4a8fb65e4a6ac,7add7c97fabb8271d66cf5d9f65058d8138fd4f3f7c04d59c962e82341a018ae,277
5,10240,32,1,dca17ec95664f1f47b74b2985144ea39,57a8ed1930aa60a4362c5117932d667f6cce6a7fa99119cbd1a8656b0e80b2e3,119
6,10240,32,1,08a63d1266787084eea1880f8cfa99de,6dcd474b9ac97e6a157547ed9f644bf16353ead0a56533cea7e2cdc3662dc7a1,154
7,10240,32,1,1dd89dafa2470ef23040948ad7811525,c3da598eabfbb0f94968aaf2dfdc14839393c755557b41c9b4bbe5b93187f8f1,166
8,10240,32,1,39a90782687f1dac3868151e5f75a0dd,39ff2a060f5cb647e4bbb2231e519e2ec6fa18dc053ba65d3d0f02963fa0fb52,199
9,10240,32,1,439aab2c5c52b345470dff04cce9256c,07315b34504a86931d74bd02e4c324db85d4e048fe7f4aa016c1d3d86443eaec,222
10,10240,32,1,581aa84b5898b23f8b9baa7172168173,2576cf790754937f65ecd5ce55b66350820009a68cdc383b18a82cd98dc435e9,245
11,10240,32,1,fbd2a9cedfc552ed770d0e7738c680a7,8eb91d89e142a4c703ab8ad27dd2da10b9803a3162bce147ed2be224b253cbb1,250
12,10240,32,1,42a1addd9950608ca98eeb68d5871630,8f73ccf2d60767d523c2a0a4c5f4233adc2f5ee1bb37c5eeae8715b4224a7b74,270
13,10240,32,1,a3d1828e3dfb19fbb9ed34e2ee222021,8bb91a97e20354b8aee5a8c3914fff2678096e2c40852388dee1afbbdc22a237,292
14,10240,32,1,8350cd9d9a1a345bbde9230b65fbfc1d,c233d59e15089d65de6f7f335708bd294eef415d63fb0ab8f891c29d695c2fb3,318
15,10240,32,1,156cb07dc03b67d45a5bcda2193ed331,b7d4fab84cbcb6b4337596ca8dfc54785d01d8ec82b7dcef299490c7f54ce655,336
16,10240,32,1,00475a97a234c0ec5b4092f28b136d48,3c1ea1263910d45454692e138c2061a178173b00d038431ee8706f2d30d900d0,361
17,10240,32,1,3e0300c535165bd1d8df466699492820,5af0b4b097f9bfacf1940d646be0cbba6a971ef7237820e7dc7f07afeb8ad8b5,380
18,10240,32,1,79f33af9e2bec766a26eb3ba9c81eb15,f66fd0c6b66bdcce0201dcf4c486f5efb9778cf30fafdc83e2298bf2f22355e8,403
19,10240,32,1,0b5c4f011dcb0e62bd1cca467e5e6099,94a7901eafc3f264361fc0c3102798dc4abf535afd76821045666736f1fc01dd,425
20,10240,32,1,b43233f6d9e4ba253fb645df61a151d6,e4cc538be4650bc347f9489dc9d6956ab7960edf647dc8a085f0a96f1504d07e,448
21,10240,32,1,f6d81d41bf4b972f475fd259297935ec,fcdcb5b2af5a8f282cbce546fea5b03198fbaf1eb892359579664e1722025ec4,468
22,10240,32,1,01c20fa8f88c8fc6c68334e4133c841a,7661c4a9a93953fd9c5aa72e5114a2a25a1f6dc5199013a3bf9c1443001f8bd0,490
23,10240,32,1,6f6ceb0e8f8de3722b2e8c225be1fb9c,b6d11850d606456a573494764094ce6b8d074ec35ef4c1bac476a30732512a51,513
24,10240,32,1,c30e49229c5c854933d542609d1407f1,b53fe29b9e3e1eff0829a909b05462bddb2c155e4487d586f49d7ba3d613fe42,536
25,10240,32,1,1b8872523f2cb44dde07eb9edd51f6e6,4cc66c10d49cde669a996af5f441b74e4eeb030572d58c0e4e459d8999308686,558
26,10240,32,1,2347ba2a6950e186776e2716638cc290,ec41701000a581baf8a2cbb2fa87742c09ba21faaf50780941da7fe3b2b6b478,580
27,10240,32,1,1ca1ef14787f9dde892e800a20cb04d3,857534eb5751e97de2928b09628b13faa9456b6f29ea34fdc2c789825621888a,603
28,10240,32,1,bb872a5aaad624d6c98c041f184ebfde,d6dd8870394eacadd7b47d963a39a3d51d60c3c8f5ee5b7a34b20e430b2dc4d2,625
29,10240,32,1,56756b8cbb36462890f4e1af5cbd5150,e3ef61bdce0351c210fbead90aa8bdbc04c5ca769ea83d7ee5964891f29eb471,649
30,10240,32,1,c2a3d6b1ce4595c1ef1fac8ee7fc263e,5f2ad6f3059e921b2c192ba9145b3dd8c8dd24598cddc4e61e84297cbce2d8bc,671
4,20480,32,1,953f72afe9c6f23bb41d6f3f92defd09,68bd214115590b95bb473f78528364a010a2390ce13bb4a1ac69036f75a425ea,188
5,20480,32,1,405a392a255611ef5ff670df0d69041b,06620b29979e8b23180ad51548d715c0dc392aee2b8dc962dc819cedfe440cd6,235
6,20480,32,1,3b0d1fe28102d2623717add67e7e0c7b,d28efa7609879fc2f90a5558b872ef427a3ce5a481c441a690586e2eea7e7c14,277
7,20480,32,1,94eecbb6a1341f79f66959ca4b49066d,d7fc2e6dae4cb8f2e2e0297618bab3e90772f84df09d5a222870b8d64ffb58ca,323
8,20480,32,1,7cdd113bf7a5e51397b79325e57461f3,c28a1982093cc48ccdd5f52a8e3ed5dc67074dbdd4a49f2212f7b165b8707dc0,369
9,20480,32,1,48f17b87cb6eb2c24e5cc94fefa4b37f,a28da57865f942ae8ac080111b5d0a3472e8161cf691615bd1005da1cd8fcec7,421
10,20480,32,1,5b066045292d527f47bd61bfa3c191f4,728eaf02372719b9c8039f43c86b55429edc8e7e37137dc110e19693f90376e6,489
11,20480,32,1,499ef6aa9a3d8c6cc5d5dfddbeb501c9,5832fc0c3e401a3b0cdce9e5a589c9910089067470b8081661871f2b188c1b4a,531
12,20480,32,1,a1862b9d6791d21f661e73ba5dc53fb9,da9ef931757f4527b6cf45b6d7730ede5ba56e9f08d91dad1b4ae4b295436c32,573
13,20480,32,1,93be3f8fcc02d9bafc6e9474079b151f,bf93972562ddad02e71ddd9d9614fd4319f299a45cdce6952876381b2cc6ce04,622
14,20480,32,1,90c2c24369534d297c2e8fe392403c5e,5b2a3c27e5eda11f0a9fba47c3ccb468bc0cc34f19989075f91eb0ba53fafbf1,665
15,20480,32,1,876debc18175622fc5dc3f2b72da7c1d,c48f6c8f14f02183acc1eb8882fe9f3572e840373ff5562b0fddeae1ea537f8a,715
16,20480,32,1,8e25b7dd656918286796be482a7d953f,1fd7c87de16788e1b9e5f7900ffd68c10dc2cb3016953b4b62bb12e1b691efeb,755
17,20480,32,1,ae5fd734ef26f1f6c97b271ac1af4d56,112e3f4e39f6738fff811a94c78fe4d56b3e05bf33d01945f1552d28feed09cf,819
18,20480,32,1,b481ed3b919ac0728e9e133ef5185bd8,18a792cd41ce6141d65c3cae3569dbf4f3b63539b83e40e796fa03aa41db73cf,845
19,20480,32,1,75e9cb5406c8d6f077679368c5a415fb,b41ff4337e2996c57ee36e29fc4253db014b81572f1a21c3a03ddb4a9267dc26,904
20,20480,32,1,4f579cce8488f33bb63aad79c3bc946f,ce51cc655791006266c7cb6c08657075fa8adb02ea7d18954a5f1e7bb4411f33,931
21,20480,32,1,0b9ba5ac35a55ce9a0a6f33af770cba7,cb5d11d254208ba2c8dbc03ac13b48375b2af536daffe4607f3ddf0ed408433c,988
22,20480,32,1,3f43393f2d7deed94ba40a94087d7829,b96963e2bb312943d41544df8e9b466a67169d2b87e1a8505a16c092da3c0b66,1050
23,20480,32,1,1cfa5ba542a57baead589ae2fc754c64,5cdd0bd87255d3e5f7fe5b0ac28b46d562f668ef7a9b3ff03f43ded0265bd001,1119
24,20480,32,1,375df05b333a4218adad19568b4c7dcf,4505533cc828a8c78d9b069ee03734cbe9a569997a477378de47e172a38c375a,1152
25,20480,32,1,87904e6274ceae128429fdb1e4e2f323,86c2fa42f5a36bbbed5bab17b695bb532c436099f80e08d8e48a5b90d131dfff,1241
26,20480,32,1,b6e7fffa7e8d80f1d7b210a8acdbc7cb,d8a353f0b05c3fcff55c257fb2eead660681593ac6b07712a935647a8ee8ca63,1229
27,20480,32,1,fb4dd8beb3648adf26ac398ed5219c37,e01dc287ca1a360f047c539ef32b4331e0123317747ebb8f29696cda5973eb81,1271
28,20480,32,1,c9701a6aac884e541b72096868c6fff9,4d9eeedeeb39d074bf6168f5d5cb8f7f399bb3ce804b22dadc0b112b7574bc3b,1312
29,20480,32,1,4e24953d23926e6cf2148b5d732f89bb,fe6254359fe248d701e3ba13f606de41d2eaad724483faae7daf9e8e5adf7963,1359
30,20480,32,1,ac6266dd70aae0adfcd2771d4af51f7d,b007b8d253ac3c7ab03b8da139767031571bc8caf73a36170d7855da250a52cf,1418
4,30720,32,1,71bc7de788b3f8dd8144d96510c0a59d,93b3dabe0564944b8ba21511c9b9d1beb4e416f2f5ea069ff327776d2416d19e,295
5,30720,32,1,e223a5b27b7ded100fa208055b6a1777,749b86aa0c60861f886b40eff700c3fb21870d9f7d5ab274f5f6548d7cc2fcdd,372
6,30720,32,1,afd321bc196fe15ba1109ff660992ac9,c3dd79fa6ce569f6bb9a135a548ce487c31f76b757400c8eb8dedfe1f1aa0f83,458
