Work Factor,Time
4,53.333333333333336
5,13.0
6,15.333333333333334
7,24.0
8,37.666666666666664
9,63.333333333333336
10,122.0
11,242.66666666666666
12,465.6666666666667
13,916.6666666666666
14,1836.3333333333333
15,3693.3333333333335
16,7323.0
17,14638.333333333334
18,29196.333333333332
19,58370.0
20,116816.66666666667
21,233537.33333333334
