Number of Iterations,Memory Limit,Time,Device
12,30720KiB,3310.6666666666665,android
13,30720KiB,3602.0,android
14,30720KiB,3837.0,android
15,30720KiB,4145.333333333333,android
16,30720KiB,4406.333333333333,android
17,30720KiB,4691.666666666667,android
18,30720KiB,4944.0,android
19,30720KiB,5232.0,android
20,30720KiB,5487.333333333333,android
21,30720KiB,5766.333333333333,android
22,30720KiB,6011.0,android
23,30720KiB,6317.0,android
24,30720KiB,6557.333333333333,android
25,30720KiB,6882.666666666667,android
26,30720KiB,7151.333333333333,android
27,30720KiB,7402.666666666667,android
28,30720KiB,7669.333333333333,android
29,30720KiB,7940.666666666667,android
30,30720KiB,8136.0,android
31,30720KiB,8472.333333333334,android
4,40960KiB,1496.0,android
5,40960KiB,1866.6666666666667,android
6,40960KiB,2229.3333333333335,android
7,40960KiB,2602.0,android
8,40960KiB,2968.0,android
9,40960KiB,3320.6666666666665,android
10,40960KiB,3676.0,android
11,40960KiB,4023.3333333333335,android
12,40960KiB,4368.666666666667,android
13,40960KiB,4784.0,android
14,40960KiB,5138.333333333333,android
15,40960KiB,5447.0,android
16,40960KiB,5815.0,android
17,40960KiB,6251.333333333333,android
18,40960KiB,6611.0,android
19,40960KiB,6988.666666666667,android
20,40960KiB,7294.333333333333,android
21,40960KiB,7705.666666666667,android
22,40960KiB,8063.0,android
23,40960KiB,8414.0,android
24,40960KiB,8767.0,android
25,40960KiB,9111.333333333334,android
26,40960KiB,9520.333333333334,android
27,40960KiB,9876.0,android
28,40960KiB,10212.666666666666,android
29,40960KiB,10635.0,android
30,40960KiB,10974.0,android
31,40960KiB,11330.0,android
4,51200KiB,1878.0,android
5,51200KiB,2328.3333333333335,android
6,51200KiB,2780.0,android
7,51200KiB,3244.6666666666665,android
8,51200KiB,3696.6666666666665,android
9,51200KiB,4170.333333333333,android
10,51200KiB,4651.0,android
11,51200KiB,5060.333333333333,android
12,51200KiB,5524.0,android
13,51200KiB,6013.666666666667,android
14,51200KiB,6463.333333333333,android
15,51200KiB,6894.0,android
16,51200KiB,7359.333333333333,android
17,51200KiB,7837.333333333333,android
18,51200KiB,8283.333333333334,android
19,51200KiB,8641.0,android
20,51200KiB,9164.0,android
21,51200KiB,9601.666666666666,android
