WORK_FACTOR,SALT,HASH,TIME
4,f40872dcda7b7a1a66abf89fefb5f1ae,1fd48624074560846117e9bc25de967d8e883b7cb35de5ee,70
5,1beca0f28de8a3ee4399f8e992146774,d4de2895bb8d2b1a992646f41ea04200272f2dba9f57326e,12
6,03c2818526f470189e9386d23b53e5c8,1577bc92ece306fb3826be981fe54edecb3eb3845d8aebcc,14
7,3f659bbc9ae3d0bc6244995d18a6b804,39f5c8ed2dfa33581237ebdde90ca497c60df528023f68e9,21
8,9538c80ca73e7c2a103397fefa26cebd,90be86b2b66375bac85d276b87156d8e3c53caf3e798ce15,38
9,d8500ef0763b33ad5b071cb7742c8f43,ee3bf795afe602b12205e14531fa08f8ec3452eb9b91378b,64
10,b4eb10bd44bfa459542c4a9534c6a8e9,58df39aba6c480e088e1ec9131dacec31fd2e280b3bb844e,126
11,f7f17dff63ab639d3180d3323b08ce9d,7133ab5dbdb9053efeba491643b049c9cecd6436c8a0e41e,249
12,df11840c42a2be5c824219a094a92757,4ba71eebae5814cb1594f9e5db6892df972d587154667035,465
13,d68cd3c43763f607a44759fec833b8c3,ed8d242d7ebb5ead30182f67828ae2b888974f17cf7ffd66,918
14,ee66627f7428d67dc8333384611c9e60,cdbba6ef50f82af7317798e91f2cab82df95326b6453f1e0,1830
15,f7558a3c6d73d3c23fe6ed0cc5086f69,95ab697743ed151a246adbaeacd097231e8468a61cf6f8cc,3725
16,861edc9d9b7056e643ce140eb5c3d990,bdedc15abbc79bd56e293a5057b9f0ed1f81a24e7edd6ee1,7374
17,a06096fbe3949692363c60531e7977eb,70a8f008396f6ccc197f4fd12cb0f9ac71adea083dd470fa,14721
18,6f0260858dd00eca4ab30c143df84f71,cfaccaa146528be0d896f76bb21d96b3f4606701edfdc158,29189
19,5e13557a06b18156e1b44b47492c3b0c,ea21a41f5fb5d83c59fe1702f8614e1192825d987807e5c4,58327
20,78c2549497bb1d6654660730e1fec27e,421686cbf4e316643256907b28594c8813758847921da75f,116917
21,ed91b2e79301ea523f200f2bac0e19af,106f7814da22a96a979447e4442ddb49b21a47fe26869fb8,233569
